"ErrorCode";"Identifier";"Meaning";"Reason";"Cure"
"'022F8";"E_EVA_WEXGLF_PATTERN";"Cannot retrieve the 'teeth' ";"wrong pattern for GLF computation";"Use the right testsheet."
"'022FB";"E_TRA_CFG_ACCHEXFILE";"";"Cannot set access mode for hexfilename ";"Software bug - no cure"
"'20300";"E_SCD_ACQ_VER_DAQ";"Wrong version of DAQ board (ADC70 hardware). ";"";""
"'20301";"E_SCD_ACQ_VER_SCB";"Scan acquisition control software detected a version mismatch between the scan control board (SCB) and its FPGA. - Wrong version setting of SCB. - Negative version code from scd_scb_version() (unlikely). ";"- Wrong FPGA ""software"" on SCB.";"Replace SCB."
"'20302";"E_SCD_ACQ_PRESENT_SAB";"No scan acquisition hardware found. - Error on scan control board (SCB), concerning SAB connection Try if replacement of one of the boards solves the problem. ";"- Scan acquisition board (SAB) not or badly inserted.";"Check scan acquisition board and scan control board."
"'20303";"E_SCD_ACQ_VERS_SAB";"Pixel acquisition software detected a wrong (too high) version of scan acquisition board (SAB). It assumes compatibility. - Wrong version setting on SAB. ";"- Hardware newer than software.";"Ignore this error, if machine works correctly. Else replace SAB."
"'20304";"E_SCD_ACQ_PRESENT_SCB";"No SCB hardware found by pixel acquisition software. - SCB defective. ";"- Scan control board (SCB) not or badly inserted.";"Check / insert / replace SCB."
"'20305";"E_SCD_ACQ_VER_TEMP_SENS";"Wrong hardware version to read temperature sensor. ";"Too old version of scan acquisition board (SAB).";"Ignore error or replace SAB."
"'20306";"E_SCD_ACQ_VER_TST_IVC";"Wrong hardware version to test I/V converter.  ";"Too old version of scan acquisition board (SAB).";"Ignore error or replace SAB."
"'20308";"E_SCD_ACQ_PRESENT_SSB";"No SSB hardware found by pixel acquisition software. - SSB defective. ";"- Scan slave board (SSB) not or badly inserted.";"Check / insert / replace SSB."
"'2031F";"E_SCD_ACQ_VER_FPGA10";"Solo scan control board contains old FPGA with version 9 or 10. These are development versions and not supported any more. ";"Error in programming of FPGA EPROM version 3.26.";"Replace FPGA EPROM or complete SCB."
"'20320";"E_SCD_FIFO_VER_SWH";"Wrong version of SWH board (ADC70 hardware). ";"";""
"'20321";"E_SCD_FIFO_VER_SCB";"Pixel acquisition software detected a wrong version of scan control board (SCB). ";"Negative version code from scd_scb_version(). Software error.";"Check if software is installed correctly."
"'20322";"E_SCD_FIFO_PRESENT";"No pixel FIFO hardware found. - SCB defective. ";"- Scan control board (SCB) not or badly inserted.";"Check / insert / replace SCB."
"'20323";"E_SCD_FIFO_INI_HW";"Initializing the scan control board (SCB) by the pixel acquisition software failed. ";"See previous errors in log file.";"Check / replace SCB."
"'20324";"E_SCD_FIFO_GET_IVEC";"Getting the FIFO interrupt vector failed. ";"Problems with operating system.";"Check if software is installed correctly. Check CPU."
"'20325";"E_SCD_FIFO_CDV_MINDIV";"Calculated pixel clock divider too low. ";"Wrong parameters for function call.";"Check cassette data and system settings."
"'20326";"E_SCD_FIFO_CDL_SPSPD";"Wrong spot speed at ad_delay calculation. ";"Wrong parameters for function call.";"Check cassette data and system settings."
"'20327";"E_SCD_FIFO_SMW_PIX";"Attempt to initialize ad_window with too few pixels. ";"Wrong parameters for function call.";"Check cassette data and system settings."
"'20328";"E_SCD_FIFO_SMW_ADDELAY";"Attempt to initialize ad_window with too short ad_delay. ";"Wrong parameters for function call.";"Check cassette data and system settings."
"'20329";"E_SCD_FIFO_ISC_LPIX";"Attempt to initialize scan with too few pixels per line. ";"Wrong parameters for function call.";"Check cassette data and system settings."
"'2032A";"E_SCD_FIFO_ISC_HPIX";"Attempt to initialize scan with more pixels per line than length of ad_window. ";"Wrong parameters for function call.";"Check cassette data and system settings."
"'2032B";"E_SCD_FIFO_ISC_ODDPIX";"Attempt to initialize scan with an odd number of pixels. Next lower even number taken. ";"Wrong setting in FIP table.";"Check FIP table."
"'2032C";"E_SCD_FIFO_ISC_LIOFF";"Negative number of pixels to discard at begin of line. ";"Wrong parameters for function call.";"Check cassette data and system settings."
"'2032D";"E_SCD_FIFO_ISC_ODDIOFF";"Attempt to initialize scan with an odd number of pixels to discard at begin of line. Next lower even number taken. ";"Wrong setting in FIP table.";"Check FIP table."
"'2032E";"E_SCD_FIFO_ISC_HIOFF";"Too many pixels to discard at begin of line. ";"Wrong parameters for function call.";"Check cassette data and system settings."
