"code";"abbreviation";"description";"explanation"
"1";"SMH_RUNNING";"SM-HighLevel: Command refused, stepper motor is running";"Reason:  Stepper Motor HighLevel:  Command refused, stepper motor is currently running.<newline/>Meaning: Command is only allowed (_switchAccCurve) or has wrong parameters (opposite sign of run direction)  while motor is running.<newline/>Cure:    Check and correct your code."
"2";"SMH_MSI";"SM-HighLevel: Microstep starting mode out of range";"Reason:  Stepper Motor HighLevel:  Microstep starting mode out of range.<newline/>Meaning: Wrong acceleration curve.<newline/>Cure:    Check your curve definition and correct it."
"3";"SMH_LIBSPEEDLEVEL";"SM-HighLevel: Stepper motor speed level out of range";"Reason:  Stepper Motor HighLevel:  Speed level out of range.<newline/>Meaning: Speedlevel > max. speed level defined in acceleration curve.<newline/>Cure:    Check your speedlevel parameter in your command."
"4";"SMH_CURRENT";"SM-HighLevel: Stepper motor current out of range";"Reason:  Stepper Motor HighLevel:  Current out of range.<newline/>Meaning: Current parameter smaller than min current defined in 'sm397xPublic.h'   or   > 100.<newline/>Cure:    Check your current parameters in your command."
"5";"SMH_NOCURVE";"SM-HighLevel: No stepper motor acceleration curve loaded";"Reason:  Stepper Motor HighLevel:  No acceleration curve loaded.<newline/>Meaning: Before starting any stepper motor, an acceleration curve must be loaded.<newline/>Cure:    Load acceleration curve."
"6";"SMH_CURVE";"SM-HighLevel: No valid stepper motor acceleration curve";"Reason:  Stepper Motor HighLevel:   No valid acceleration curve.<newline/>Meaning: Invalid pointer to acceleration curve that should be used for running.<newline/>Cure:    Correct your load_curve command."
"7";"SMH_STT_GENERAL";"SM-HighLevel: Steps to target error";"Reason:  Stepper Motor HighLevel:  Steps to target error.<newline/>Meaning: Command setStepsToTarget() while motor is running:  less steps than number of speed levels in curve.<newline/>         Command setLevelRepeatFactor() while motor is running:  target cannot be reached, motor will stop later.<newline/>Cure:    Software bugfixing."
"8";"SMH_STT_WHILEBRAKE";"SM-HighLevel: Set steps while braking stepper motor";"Reason:  Stepper Motor HighLevel:  Try to set steps to target while braking.<newline/>Meaning: It is not allowed to call command 'setStepsToTarget()' while motor is currently breaking.<newline/>Cure:    Software bugfixing."
"9";"SMH_LRF";"SM-HighLevel: Invalid level repeat factor for stepper motor";"Reason:  Stepper Motor HighLevel:  Invalid level repeat factor(0).<newline/>Meaning: This level repeat factor makes no sense.<newline/>Cure:    Software bugfixing."
"10";"SMH_UNKNOWN_SMLIBERR";"SM-HighLevel: Unknown stepper motor library error";"Reason:  Stepper Motor HighLevel:  Unknown stepper motor library error.<newline/>Meaning: this stepper motor library error is not known in stepper motor high level methods. Software modules don't fit together.<newline/>Cure:    Software bugfixing."
"11";"SMH_TIMEOUT";"SM-HighLevel: Stepper motor timeout";"Reason:  Stepper Motor HighLevel:  timeout occurred while waiting for end of any action.<newline/>Meaning: Motor has not finished its action when timeout time is over. This means either the timeoout time is too short for this action or the motor has any problem e.g. mechanical or acceleration problems and therefore does not reach any sensor.<newline/>Cure:    Check for the cause and correct it."
"12";"SMH_RUNDIRECTION";"SM-HighLevel: Wrong stepper motor run direction";"Reason:  Stepper Motor HighLevel:  wrong run direction given as parameter to any command.<newline/>Meaning: e.g. if motor is still running in positiv run direction, and then gets any command which would result in a negativ run direction <newline/>Cure:    Select command parameters carefully, Software bugfixing."
"13";"SMH_SPEEDLEVEL";"SM-HighLevel: Wrong stepper motor speedlevel";"Reason:  Stepper Motor HighLevel:  wrong parameter speedlevel.<newline/>Meaning: This speedlevel is not allowed for this command.<newline/>Cure:    Select practicable speedlevel for this action."
"200";"FC_LEFTMOTOR_NOT_CONNECTED";"Scanhead-Control: Stepper motor Left Distance: Not Connected.";"Reason:  Scanhead-Control  Module:  Stepper motor SM-Left Distance(M511) not detected.<newline/>Meaning:  SM-Left Distance(M511) not connected or defective or motor cable defective.<newline/>Cure:    connect SM-Left Distance(M511) or replace cable/SM-Left Distance."
"201";"FC_LEFTMOTOR_COS_WINDING_DEFECTIVE";"Scanhead-Control: Stepper motor Left Distance: Test Cosine Phase failed.";"Reason:  Scanhead-Control Module: Stepper motor SM-Left Distance(M511) cosine-phase test failed.<newline/>Meaning:   SM-Left Distance(M511) defective or motor cable defective.<newline/>Cure:   Replace IP platform assembly."
"202";"FC_LEFTMOTOR_SIN_WINDING_DEFECTIVE";"Scanhead-Control: Stepper motor Left Distance: Test Sine Phase failed.";"Reason:  Scanhead-Control Module: Stepper motor SM-Left Distance(M511) sine-phase test failed.<newline/>Meaning:   SM-Left Distance(M511) defective or motor cable defective.<newline/>Cure:    replace cable/SM-Left Distance."
"203";"FC_RIGHTMOTOR_NOT_CONNECTED";"Scanhead-Control: Stepper motor Right Distance: Not Connected.";"Reason:  Scanhead-Control  Module:  Stepper motor SM-Right Distance(M510) not detected.<newline/>Meaning:  SM-Right Distance(M510) not connected or defective or motor cable defective.<newline/>Cure:    connect SM-Right Distance(M510) or replace cable/SM-Right Distance."
"204";"FC_RIGHTMOTOR_COS_WINDING_DEFECTIVE";"Scanhead-Control: Stepper motor Right Distance: Test Cosine Phase failed.";"Reason:  Scanhead-Control Module: Stepper motor SM-Right Distance(M510) cosine-phase test failed.<newline/>Meaning:   SM-Right Distance(M510) defective or motor cable defective.<newline/>Cure:    replace cable/SM-Right Distance."
"205";"FC_RIGHTMOTOR_SIN_WINDING_DEFECTIVE";"Scanhead-Control: Stepper motor Right Distance: Test Sine Phase failed.";"Reason:  Scanhead-Control Module: Stepper motor SM-Right Distance(M510) sine-phase test failed.<newline/>Meaning:   SM-Right Distance(M510) defective or motor cable defective.<newline/>Cure:    replace cable/SM-Right Distance."
"206";"FC_SUPPLYLOW";"Scanhead-Control: Supply voltage Out of range.";"Reason:  Scanhead-Control Module: The supply voltage of the Scanhead-CTRL node is below a level which allows a reliable operation of the motors.<newline/>Meaning: Scanhead-Ctrl Node(B572) or Flexboard(B580) or Distribution board(575) defective or PowerSupply unit(B101) defective or cables between both units defective.<newline/>Cure: Check/Replace Scanhead-Ctrl Node(B572) or Flexboard(B580) or Distribution board(575) or MainPowerSupply(B101) unit or cables between both units."
"207";"FC_DRIVER_DEFECTIVE";"Scanhead-Control: Driver defective";"Meaning:  Scanhead-Control Module: One of the hardware drivers for the distance stepper motors(M510/M511) is defective.<newline/>Cure: Replace Scanhead-Ctrl Node(B572)"
"208";"FC_LEFTPRECISIONSWITCH_NOT_CONNECTED";"Scanhead-Control: Left Precision switch not connected";"Reason:  Scanhead-Control  Module:   Left Precision Switch(S506) not detected.<newline/>Meaning: Left Precision Switch(S506) not connected or defective or cable defective.<newline/>Cure:    connect Switch(S506) to ST1 on Scanhead-Ctrl Board or replace cable/Switch(S506)."
"209";"FC_LEFTLB_NOT_CONNECTED";"Scanhead-Control: Left Distance  Home-Pos Sensor not connected.";"Reason:  Scanhead-Control Module: Left Distance  Home-Pos Sensor(B570) not detected.<newline/>Meaning: Left Distance  Home-Pos Sensor(B570) not connected or defective or sensor cable defective.<newline/>Cure:    connect Sensor(B570) to ST2 on Scanhead-Ctrl Board or replace cable/Sensor(B570).."
"210";"FC_RIGHTPRECISIONSWITCH_NOT_CONNECTED";"Scanhead-Control: Right Precision switch not connected";"Reason:  Scanhead-Control  Module:   Right Precision Switch(S505) not detected.<newline/>Meaning: Right Precision Switch(S505) not connected or defective or cable defective.<newline/>Cure:    connect Switch(S505) to ST11 on Scanhead-Ctrl Board or replace cable/Switch(S505)."
"211";"FC_RIGHTLB_NOT_CONNECTED";"Scanhead-Control:  Right Distance  Home-Pos Sensor not connected.";"Reason:  Scanhead-Control Module: Right Distance  Home-Pos Sensor(B569) not detected.<newline/>Meaning: Right Distance  Home-Pos Sensor(B569) not connected or defective or sensor cable defective.<newline/>Cure:    connect Sensor(B569) to ST12 on Scanhead-Ctrl Board or replace cable/Sensor(B569).."
"212";"FC_CAL_HOME1_LEFT_CMD";"Scanhead-Control: homepos left failed";"Meaning:  Scanhead-Control Module: Cannot issue command HomePos for the left motor before starting the calibration."
"213";"FC_CAL_HOME1_RIGHT_CMD";"Scanhead-Control: homepos right failed";"Meaning:  Scanhead-Control Module: Cannot issue command HomePos for the right motor before starting the calibration."
"214";"FC_CAL_REFPOSAPPR_LEFT_CMD";"Scanhead-Control: pos left failed";"Meaning:  Scanhead-Control Module: Cannot issue the goPos command for the left motor when trying to move close to the reference position."
"215";"FC_CAL_REFPOSAPPR_RIGHT_CMD";"Scanhead-Control: pos right failed";"Meaning:  Scanhead-Control Module: Cannot issue the goPos command for the right motor when trying to move close to the reference position."
"216";"FC_RPT_DELIVER";"Scanhead-Control: cannot deliver response";"Meaning:  Scanhead-Control Module: Cannot send back response to the caller."
"217";"FC_SFL_FOCUS_LEFT";"Scanhead-Control: pos left failed";"Meaning:  Scanhead-Control Module: Cannot issue the goPos command for the left motor when trying to move to the focus level."
"218";"FC_SFL_FOCUS_RIGHT";"Scanhead-Control: pos right failed";"Meaning:  Scanhead-Control Module: Cannot issue the goPos command for the right motor when trying to move to the focus level."
"219";"FC_SFL_APPROACH_LEFT";"Scanhead-Control: pos left failed";"Meaning:  Scanhead-Control Module: Cannot issue the goPos command for the left motor when trying to move to the approach level."
"220";"FC_SFL_APPROACH_RIGHT";"Scanhead-Control: pos right failed";"Meaning:  Scanhead-Control Module: Cannot issue the goPos command for the right motor when trying to move to the approach level."
"221";"FC_SFL_MAXHEIGHT_LEFT";"Scanhead-Control: pos left failed";"Meaning:  Scanhead-Control Module: Cannot issue the goPos command for the left motor when trying to bring the scanhead into a safe position."
"222";"FC_SFL_MAXHEIGHT_RIGHT";"Scanhead-Control: pos right failed";"Meaning:  Scanhead-Control Module: Cannot issue the goPos command for the right motor when trying to bring the scanhead into a safe position."
"223";"FC_SENDEVENT_DELIVER";"Scanhead-Control: cannot deliver internal event";"Meaning:  Scanhead-Control Module: Cannot send internal event through PostOffice."
"224";"FC_CMT_MOVEBACK_LEFT";"Scanhead-Control: pos left failed";"Meaning:  Scanhead-Control Module: Cannot issue the goPos command for the left motor when trying to move some steps away from the reference position in order to repeat the positioning."
"225";"FC_CMT_MOVEBACK_RIGHT";"Scanhead-Control: pos right failed";"Meaning:  Scanhead-Control Module: Cannot issue the goPos command for the right motor when trying to move some steps away from the reference position in order to repeat the positioning."
"226";"FC_CMT_REFPOS_LEFT";"Scanhead-Control: runSensor left failed";"Meaning:  Scanhead-Control Module: Cannot issue the runSensor command for the left motor while running till the precision switch reports contact."
"227";"FC_CMT_REFPOS_RIGHT";"Scanhead-Control: runSensor right failed";"Meaning:  Scanhead-Control Module: Cannot issue the runSensor command for the right motor while running till the precision switch reports contact."
"228";"FC_CMT_SAFEPOS_LEFT_CMD";"Scanhead-Control: pos left failed";"Meaning:  Scanhead-Control Module: Cannot issue the goPos command for the left motor in order to bring the scanhead into a secure position after having determined the reference position."
"229";"FC_CMT_SAFEPOS_RIGHT_CMD";"Scanhead-Control: pos right failed";"Meaning:  Scanhead-Control Module: Cannot issue the goPos command for the right motor in order to bring the scanhead into a secure position after having determined the reference position."
"230";"FC_SETPAR_DELIVER";"Scanhead-Control: cannot deliver setPar response";"Meaning:  Scanhead-Control Module: Cannot deliver response to setParameter event."
"231";"FC_GETPAR_DELIVER";"Scanhead-Control: cannot deliver getPar response";"Meaning:  Scanhead-Control Module: Cannot deliver response to getParameter event."
"232";"FC_M2D_CMD_LEFT";"Scanhead-Control: abspos left failed";"Meaning:  Scanhead-Control Module: Cannot issue command AbsPos for the left motor in method move2dist()"
"233";"FC_M2D_CMD_RIGHT";"Scanhead-Control: abspos right failed";"Meaning:  Scanhead-Control Module: Cannot issue command AbsPos for the right motor in method move2dist()"
"234";"FC_M2D_TIO_LEFT";"Scanhead-Control: timeout abspos left";"Meaning:  Scanhead-Control Module: Timeout after command AbsPos for the left motor in method move2dist()"
"235";"FC_M2D_TIO_RIGHT";"Scanhead-Control: timeout abspos right";"Meaning:  Scanhead-Control Module: Timeout after command AbsPos for the right motor in method move2dist()"
"236";"FC_SO_DELIVER";"Scanhead-Control: cannot deliver StoreOffsets response";"Meaning:  Scanhead-Control Module: Cannot deliver response to the saveOffsets command."
"237";"FC_CMT_LEFTLIFTNOTSAVE";"Scanhead-Control: notsafe left";"Meaning:  Scanhead-Control Module: Left lift is not at save position after calibration - slowscan needs to be stopped immediately."
"238";"FC_CMT_RIGHTLIFTNOTSAVE";"Scanhead-Control: notsafe right";"Meaning:  Scanhead-Control Module: Right lift is not at save position after calibration - slowscan needs to be stopped immediately."
"239";"FC_SFL_LEFTLIFTNOTSAVE";"Scanhead-Control: notsafe left";"Meaning:  Scanhead-Control Module: Left lift is not at save position after scanning - slowscan needs to be stopped immediately."
"240";"FC_SFL_RIGHTLIFTNOTSAVE";"Scanhead-Control: notsafe right";"Meaning:  Scanhead-Control Module: Right lift is not at save position after scanning - slowscan needs to be stopped immediately."
"241";"FC_CMT_MOVEBACK_LEFT_TIO";"Scanhead-Control: moving back from calibration position failed for left motor";"Meaning:  Scanhead-Control Module: The left motor was not able to move back from the calibration position within 15 secs."
"242";"FC_CMT_MOVEBACK_RIGHT_TIO";"Scanhead-Control: moving back from calibration position failed for right motor";"Meaning:  Scanhead-Control Module: The right motor was not able to move back from the calibration position within 15 secs."
"243";"FC_CMT_REFPOS_LEFT_TIO";"Scanhead-Control: Timeout runSensor left distance unit calibration.";"Reason:  Scanhead-Control Module: Left Precision Switch(S506) was not actuated within timeouttime during calibration cycle of scanhead adjust distance unit.<newline/>Meaning: Left Precision Switch(S506) defective or stepper motor SM-Left Distance(M511) does not reach it's position.<newline/>Cure: Replace IP platform assembly."
"244";"FC_CMT_REFPOS_RIGHT_TIO";"Scanhead-Control: Timeout runSensor left distance unit calibration.";"Reason:  Scanhead-Control Module: Right Precision Switch(S505) was not actuated within timeouttime during calibration cycle of scanhead adjust distance unit.<newline/>Meaning: Right Precision Switch(S505) defective or stepper motor SM-Right Distance(M510) does not reach it's position.<newline/>Cure: Replace left Precision Switch(S505) or repair mechanics of right distance unit."
